地図　①山脈は？,奥羽,IMG_1433.jpg
地図　②山脈は？,飛騨,IMG_1433.jpg
地図　③山地は？,中国,IMG_1433.jpg
地図　④山地は？,九州,IMG_1433.jpg
地図　⑤平野は？,関東,IMG_1433.jpg
地図　⑥川は？,信濃,IMG_1433.jpg
地図　⑦川は？,利根,IMG_1433.jpg
世界には、大地の変動が活発で、地震の震源や火山が帯のように分布する【問】と呼ばれる地域がある。？,変動帯
日本の産地が占める割合は、(ア)　1/3　　(イ)1/2　　(ウ)3/4？,ウ
Xの地域にある３つの山脈は、ヨーロッパの山脈にたとえ何と呼ばれている。？,日本アルプス,IMG_1433.jpg
Yの地域にある、日本列島の地形を東西に分ける巨大な溝状の地形を何というか。？,フォッサマグナ,IMG_1433.jpg
河川に水が流れ込む範囲の面積を何というか？,流域面積
地図①　海に面した平坦な地形は？,平野,IMG_1429.jpg
地図②　山に囲まれた平坦な地形は？,盆地,IMG_1429.jpg
地図③　①や②のうち、一段高い平坦な地形は？,台地,IMG_1429.jpg
地図④　川が山地から平地に流れ出た所に土砂がたまって出来た地形は？,扇状地,IMG_1429.jpg
地図⑤　川が運んだ細かい土砂が河口部を埋め立てて出来た地形？,三角州,IMG_1429.jpg
地図　①の海流を答えよ？,親潮,IMG_1434.jpg
地図　②の海流を答えよ？,黒潮,IMG_1434.jpg
地図　③の海流を答えよ？,対馬海流,IMG_1434.jpg
地図中のAにみられる風によって運ばれた砂が積もって出来た丘を何と言うか？,砂丘,IMG_1434.jpg
地図中のBに見られる奥行きのある湾と岬が入り組んだ海岸を何と言うか？,リアス海岸,IMG_1434.jpg
地図中の青い太い線には、【問】と呼ばれる特に深い溝状の海底地形がある？,海溝,IMG_1434.jpg
日本列島の周囲には、【問】と呼ばれる比較的浅い平坦に続く海底地形がある？,大陸棚
地図中の緑色部分には、暖流と寒流がぶつかる【問】と呼ばれる海域があり、豊かな漁場となっている？,海溝,IMG_1434.jpg


ナイル川の長さは、日本列島の長さの約何倍か。整数で小数第1位を四捨五入で答えよ。約【問】倍。？,２,IMG_1435.jpg
４つの川のうち、傾斜が最も急であり、流れが速いと判断できる川は？,常願寺川,IMG_1435.jpg
この資料から読み取れる日本の川の特徴は長さは【問】く流れは■？,短,IMG_1435.jpg
この資料から読み取れる日本の川の特徴は長さは■く流れは【問】？,急,IMG_1435.jpg

日本で河川の上流にダムが多く作られている目的の１つとして、画像から考えられる事を、日本の気候の特徴をに触れながら、「大雨」の語句を使って答えなさい。？,大雨で増水した川の水をダムにため下流の川の水量を調整するため,IMG_1436.jpg









